_link,_link_releases,_link_releases_contracts,_link_main,id,date,description,rationale
0.releases.547.contracts.0.amendments.0,0.releases.547,0.releases.547.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/4000000000-CP-060120261617-NRDQ2Jy52b,2026-01-06T16:17:38Z,The purpose of this contract amendment is to extend the contract period by One year starting from 18th January 2026 up to 17th January 2027.,The purpose of this contract amendment is to extend the contract period by One year starting from 18th January 2026 up to 17th January 2027.
0.releases.547.contracts.0.amendments.1,0.releases.547,0.releases.547.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/4000000000-CP-150120251051-NWVC6ZuQAS,2025-01-15T10:51:23Z,Amendment contract of consultancy service for hiring professional bailiff (umuhesha w'inkiko w'umwuga) for one year starting from 18 January 2025 up to 17 January 2026.,Amendment contract of consultancy service for hiring professional bailiff (umuhesha w'inkiko w'umwuga) for one year starting from 18 January 2025 up to 17 January 2026.
0.releases.547.contracts.0.amendments.2,0.releases.547,0.releases.547.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/4000000000-CP-160120252040-wZFFtg5DmO,2025-01-16T20:40:01Z,Amendment contract of consultancy service for hiring professional bailiff (umuhesha w'inkiko w'umwuga) for one year starting from 18 January 2025 up to 17 January 2026.,Amendment contract of consultancy service for hiring professional bailiff (umuhesha w'inkiko w'umwuga) for one year starting from 18 January 2025 up to 17 January 2026.
0.releases.549.contracts.0.amendments.0,0.releases.549,0.releases.549.contracts.0,0,ocds-ozzobm-000001/G/NCB/2024/2025/1300000000-CP-070120260938-Y5AHD7ZA9O,2026-01-07T09:38:22Z,"This is first amendment of the contract, consists of extending contract duration for a period of one year from 04/02/2026 and also to make more clear GCC.19.4 of initial contract related to performance security.","This is first amendment of the contract, consists of extending contract duration for a period of one year from 04/02/2026 and also to make more clear GCC.19.4 of initial contract related to performance security."
0.releases.551.contracts.0.amendments.0,0.releases.551,0.releases.551.contracts.0,0,ocds-ozzobm-000003/NC/NCB/2023/2024/1417000000-CP-311220251200-xV9BZ5tWS4,2025-12-31T12:00:25Z,This is the second renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED,This is the second renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED
0.releases.551.contracts.0.amendments.1,0.releases.551,0.releases.551.contracts.0,0,ocds-ozzobm-000003/NC/NCB/2023/2024/1417000000-CP-060120260955-IVJcXHjBf5,2026-01-06T09:55:29Z,This is the second renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED,This is the second renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED
0.releases.551.contracts.0.amendments.2,0.releases.551,0.releases.551.contracts.0,0,ocds-ozzobm-000003/NC/NCB/2023/2024/1417000000-CP-060120251815-sFg6XEVSps,2025-01-06T18:15:22Z,This is the first renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED,This is the first renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED
0.releases.551.contracts.0.amendments.3,0.releases.551,0.releases.551.contracts.0,0,ocds-ozzobm-000003/NC/NCB/2023/2024/1417000000-CP-060120251815-Qfa3wt9Ger,2025-01-06T18:15:35Z,This is the first renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED,This is the first renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED
0.releases.551.contracts.0.amendments.4,0.releases.551,0.releases.551.contracts.0,0,ocds-ozzobm-000003/NC/NCB/2023/2024/1417000000-CP-060120251815-7CS7jxP0xw,2025-01-06T18:15:10Z,This is the first renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED,This is the first renewal for the provision of Restaurant services to University of Rwanda Busogo Campus RE-ADVERTISED
0.releases.553.contracts.0.amendments.0,0.releases.553,0.releases.553.contracts.0,0,ocds-ozzobm-000002/W/NRT/2023/2024/1804000000-CP-121220251158-GfLWggFWM8,2025-12-12T11:58:35Z,"The purpose of this amendment is to extend the contract duration, effective from 14/11/2025 until 30/07/2026.


The Contractor is requested to extend the performance security to cover the extended time as well as defect liability period.","The purpose of this amendment is to extend the contract duration, effective from 14/11/2025 until 30/07/2026.


The Contractor is requested to extend the performance security to cover the extended time as well as defect liability period."
0.releases.553.contracts.0.amendments.1,0.releases.553,0.releases.553.contracts.0,0,ocds-ozzobm-000002/W/NRT/2023/2024/1804000000-CP-221220251110-QxWsph6Fds,2025-12-22T11:10:07Z,"Harmonizing effective date of e-procurement system as recommended by PTC  minutes of 11/11/2025.


","Harmonizing effective date of e-procurement system as recommended by PTC  minutes of 11/11/2025.


"
0.releases.553.contracts.0.amendments.2,0.releases.553,0.releases.553.contracts.0,0,ocds-ozzobm-000002/W/NRT/2023/2024/1804000000-CP-050120261613-jc4MWGq9Zw,2026-01-05T16:13:10Z,"Harmonizing effective date of e-procurement system as recommended by PTC  minutes of 11/11/2025.


","Harmonizing effective date of e-procurement system as recommended by PTC  minutes of 11/11/2025.


"
0.releases.565.contracts.0.amendments.0,0.releases.565,0.releases.565.contracts.0,0,ocds-ozzobm-000009/NC/NCB/2024/2025/1421000000-CP-050120261554-N2MuoKzSTu,2026-01-05T15:54:27Z," We are amending the contract to correct an error regarding the duration. The term is one (1) year (not 1 year and 11 months), with an option to renew twice. This change ensures compliance with framework contract guidelines the contract  start date 11/06/2025 end 11\06\2026"," We are amending the contract to correct an error regarding the duration. The term is one (1) year (not 1 year and 11 months), with an option to renew twice. This change ensures compliance with framework contract guidelines the contract  start date 11/06/2025 end 11\06\2026"
0.releases.595.contracts.0.amendments.0,0.releases.595,0.releases.595.contracts.0,0,ocds-ozzobm-000015/C/ICB/2022/2023/1200001000-CP-311220251004-7EaDWKGvg2,2025-12-31T10:04:59Z,Contract period extension,Contract period extension
0.releases.595.contracts.0.amendments.1,0.releases.595,0.releases.595.contracts.0,0,ocds-ozzobm-000015/C/ICB/2022/2023/1200001000-CP-030120251027-dNE199V6Gd,2025-01-03T10:27:19Z,Contract period extension,Contract period extension
0.releases.595.contracts.0.amendments.2,0.releases.595,0.releases.595.contracts.0,0,ocds-ozzobm-000015/C/ICB/2022/2023/1200001000-CP-030120251516-1w03sKABjn,2025-01-03T15:16:33Z,Contract period extension,Contract period extension
0.releases.596.contracts.0.amendments.0,0.releases.596,0.releases.596.contracts.0,0,ocds-ozzobm-000015/C/ICB/2022/2023/1200001000-CP-311220251004-LP0tCAQmPs,2025-12-31T10:04:59Z,Contract period extension,Contract period extension
0.releases.596.contracts.0.amendments.1,0.releases.596,0.releases.596.contracts.0,0,ocds-ozzobm-000015/C/ICB/2022/2023/1200001000-CP-030120251027-imDlRQcF08,2025-01-03T10:27:19Z,Contract period extension,Contract period extension
0.releases.596.contracts.0.amendments.2,0.releases.596,0.releases.596.contracts.0,0,ocds-ozzobm-000015/C/ICB/2022/2023/1200001000-CP-030120251516-G6YIeSIK3z,2025-01-03T15:16:33Z,Contract period extension,Contract period extension
0.releases.602.contracts.0.amendments.0,0.releases.602,0.releases.602.contracts.0,0,ocds-ozzobm-000001/G/NCB/2024/2025/2500001000-CP-050120261744-23pP7nGQ4W,2026-01-05T17:44:25Z,"Contract Renewal:
===============
Reference is made to the request from the contract manager for renewal of the existing contract related to the supply of office stationeries and the  minutes of the tender committee members. This contract is renewed for the second (2) year of implementation.

The terms and conditions of the contract remain and respected by both parties.","Contract Renewal:
===============
Reference is made to the request from the contract manager for renewal of the existing contract related to the supply of office stationeries and the  minutes of the tender committee members. This contract is renewed for the second (2) year of implementation.

The terms and conditions of the contract remain and respected by both parties."
0.releases.602.contracts.0.amendments.1,0.releases.602,0.releases.602.contracts.0,0,ocds-ozzobm-000001/G/NCB/2024/2025/2500001000-CP-051220252115-1zC2tYzsrw,2025-12-05T21:15:44Z,ok,ok
0.releases.604.contracts.0.amendments.0,0.releases.604,0.releases.604.contracts.0,0,ocds-ozzobm-000002/G/NCB/2023/2024/2315000000-CP-060120261243-YjNdmUSRoz,2026-01-06T12:43:42Z,"The object of this contract is to renew (1st renewal) the contract for the acquisition of tyres for OBVANS as specified in the Appendix I: list of goods and technical specifications in accordance with their specifications detailed in Appendix I of this initial contract constituting the integral part of this renewal.   
DATE OF CONTRACT: 4TH JANUARY 2025 – 4TH JANUARY 2026
","The object of this contract is to renew (1st renewal) the contract for the acquisition of tyres for OBVANS as specified in the Appendix I: list of goods and technical specifications in accordance with their specifications detailed in Appendix I of this initial contract constituting the integral part of this renewal.   
DATE OF CONTRACT: 4TH JANUARY 2025 – 4TH JANUARY 2026
"
0.releases.604.contracts.0.amendments.1,0.releases.604,0.releases.604.contracts.0,0,ocds-ozzobm-000002/G/NCB/2023/2024/2315000000-CP-070120261109-ynHmFXh4bO,2026-01-07T11:09:09Z,"The object of this contract is to renew (2nd renewal) the contract for the acquisition of tyres for OBVANS as specified in the Appendix I: list of goods and technical specifications in accordance with their specifications detailed in Appendix I of this initial contract constituting the integral part of this renewal.   
DATE OF CONTRACT: 4TH JANUARY 2026 – 3rd JANUARY 2027
","The object of this contract is to renew (2nd renewal) the contract for the acquisition of tyres for OBVANS as specified in the Appendix I: list of goods and technical specifications in accordance with their specifications detailed in Appendix I of this initial contract constituting the integral part of this renewal.   
DATE OF CONTRACT: 4TH JANUARY 2026 – 3rd JANUARY 2027
"
0.releases.607.contracts.0.amendments.0,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-231220251005-teyKBC4XjS,2025-12-23T10:05:42Z,"The purpose of this Amendment is to extend the duration of the Contract without cost implication.


 

 

 







","The purpose of this Amendment is to extend the duration of the Contract without cost implication.


 

 

 







"
0.releases.607.contracts.0.amendments.1,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-231220251222-ua4uPy74eO,2025-12-23T12:22:28Z,"The purpose of this Amendment is to extend the duration of the Contract without cost implication.


 

 

 







","The purpose of this Amendment is to extend the duration of the Contract without cost implication.


 

 

 







"
0.releases.607.contracts.0.amendments.2,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-060120261312-gGT3ZWP7nW,2026-01-06T13:12:09Z,"This contract amendment intends to extend the contract period for three months effective from 01st January, 2026 to 31st March, 2026 with cost implication equivalent to three hundred and eight million nine hundred and forty-six thousand four hundred Rwandan Francs Taxes Exclusive (308,946,400 Frw) due to the construction works of RUDP II phase43 Asphalt Roads in six secondary cities which remain ongoing during this period; 
 

 

 







","This contract amendment intends to extend the contract period for three months effective from 01st January, 2026 to 31st March, 2026 with cost implication equivalent to three hundred and eight million nine hundred and forty-six thousand four hundred Rwandan Francs Taxes Exclusive (308,946,400 Frw) due to the construction works of RUDP II phase43 Asphalt Roads in six secondary cities which remain ongoing during this period; 
 

 

 







"
0.releases.607.contracts.0.amendments.3,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-081220251050-bihlzdt1q1,2025-12-08T10:50:06Z,"CONTRACT AMENDMENT № 3 ON CONSULTANCY SERVICES

This Consultancy Services Contract amendment hereinafter referred to as the “Contract amendment No 3” intends to amend the contract and its amendments and entered into by and between:

Local Administrative Entities Development Agency (LODA), represented by Ms. NYINAWAGAGA Claudine Marie Solange, Director General of LODA, GISHUSHU P.O Box 7305 Kigali, e-mail: info@loda.gov.rw, hereinafter referred to as the “Client” on one part,

And

UNITED CONTRACTORS Ltd, hereinafter referred to as the “Consultant” on the other part,

Pursuant to the, Contract No. 000003/C/IRT/2023/2024/LODA signed on 17 February, 2025 between LODA and UNITED CONTRACTORS Ltd, for the Consultancy Services for Construction Supervision (CSC) for RUDP II Phase 4 Infrastructure in Six Secondary Cities and its amendments, especially in its article 22.1 “Contract Amendments”;

Basing on the letter No. 005/UCL/MD/LODA-Client/2025 of 30th October 2025 from UNITED CONTRACTORS Ltd requesting the replacement of key personnel Eng. MUHIRWA Adolphe, who resigned from his position as Assistant Resident Engineer for Rubavu District, and proposing Eng. UWAMUNGU Jean Nepo as a replacement;

Considering the Internal Memo from the SPIU/LODA Ag. Coordinator requesting approval for the replacement of the said key personnel following his resignation;

Considering the minutes of the LODA Public Tender Committee recommending the replacement of the key personnel;

NOW THE PARTIES AGREE TO AMEND THE INITIAL CONTRACT AS FOLLOWS:

ARTICLE 1: PURPOSE OF THE AMENDMENT

This Amendment has the objective the replacement of the existing key personnel Assistant Resident Engineer of Rubavu district following the resignation from the project, with the effective date of departure 05th December 2025;

ARTICLE 2: THE CHANGE OF THE KEY STAFF

The Assistant Resident Engineer (Rubavu) Eng. MUHIRWA Adolphe is replaced by Eng. UWAMUNGU Jean Nepo.

ARTICLE 3:  INCONSISTENT PROVISIONS

Except otherwise stated into this amendment No:3 other provisions in the initial contract, and amendment 1 and 2 remain into force;

ARTICLE 4: COMMENCEMENT 

This contract amendment shall come into force after the final signing of the contract amendment.

 







","CONTRACT AMENDMENT № 3 ON CONSULTANCY SERVICES

This Consultancy Services Contract amendment hereinafter referred to as the “Contract amendment No 3” intends to amend the contract and its amendments and entered into by and between:

Local Administrative Entities Development Agency (LODA), represented by Ms. NYINAWAGAGA Claudine Marie Solange, Director General of LODA, GISHUSHU P.O Box 7305 Kigali, e-mail: info@loda.gov.rw, hereinafter referred to as the “Client” on one part,

And

UNITED CONTRACTORS Ltd, hereinafter referred to as the “Consultant” on the other part,

Pursuant to the, Contract No. 000003/C/IRT/2023/2024/LODA signed on 17 February, 2025 between LODA and UNITED CONTRACTORS Ltd, for the Consultancy Services for Construction Supervision (CSC) for RUDP II Phase 4 Infrastructure in Six Secondary Cities and its amendments, especially in its article 22.1 “Contract Amendments”;

Basing on the letter No. 005/UCL/MD/LODA-Client/2025 of 30th October 2025 from UNITED CONTRACTORS Ltd requesting the replacement of key personnel Eng. MUHIRWA Adolphe, who resigned from his position as Assistant Resident Engineer for Rubavu District, and proposing Eng. UWAMUNGU Jean Nepo as a replacement;

Considering the Internal Memo from the SPIU/LODA Ag. Coordinator requesting approval for the replacement of the said key personnel following his resignation;

Considering the minutes of the LODA Public Tender Committee recommending the replacement of the key personnel;

NOW THE PARTIES AGREE TO AMEND THE INITIAL CONTRACT AS FOLLOWS:

ARTICLE 1: PURPOSE OF THE AMENDMENT

This Amendment has the objective the replacement of the existing key personnel Assistant Resident Engineer of Rubavu district following the resignation from the project, with the effective date of departure 05th December 2025;

ARTICLE 2: THE CHANGE OF THE KEY STAFF

The Assistant Resident Engineer (Rubavu) Eng. MUHIRWA Adolphe is replaced by Eng. UWAMUNGU Jean Nepo.

ARTICLE 3:  INCONSISTENT PROVISIONS

Except otherwise stated into this amendment No:3 other provisions in the initial contract, and amendment 1 and 2 remain into force;

ARTICLE 4: COMMENCEMENT 

This contract amendment shall come into force after the final signing of the contract amendment.

 







"
0.releases.607.contracts.0.amendments.4,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-070320251253-AtNWZXZzZt,2025-03-07T12:53:22Z,Replacement of key staff,Replacement of key staff
0.releases.607.contracts.0.amendments.5,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-261120251341-8UMDXvYAkO,2025-11-26T13:41:05Z,"CONTRACT AMENDMENT № 3 ON CONSULTANCY SERVICES

This Consultancy Services Contract amendment hereinafter referred to as the “Contract amendment No 3” intends to amend the contract and its amendments and entered into by and between:

Local Administrative Entities Development Agency (LODA), represented by Ms. NYINAWAGAGA Claudine Marie Solange, Director General of LODA, GISHUSHU P.O Box 7305 Kigali, e-mail: info@loda.gov.rw, hereinafter referred to as the “Client” on one part,

And

UNITED CONTRACTORS Ltd, hereinafter referred to as the “Consultant” on the other part,

Pursuant to the, Contract No. 000003/C/IRT/2023/2024/LODA signed on 17 February, 2025 between LODA and UNITED CONTRACTORS Ltd, for the Consultancy Services for Construction Supervision (CSC) for RUDP II Phase 4 Infrastructure in Six Secondary Cities and its amendments, especially in its article 22.1 “Contract Amendments”;

Basing on the letter No. 005/UCL/MD/LODA-Client/2025 of 30th October 2025 from UNITED CONTRACTORS Ltd requesting the replacement of key personnel Eng. MUHIRWA Adolphe, who resigned from his position as Assistant Resident Engineer for Rubavu District, and proposing Eng. UWAMUNGU Jean Nepo as a replacement;

Considering the Internal Memo from the SPIU/LODA Ag. Coordinator requesting approval for the replacement of the said key personnel following his resignation;

Considering the minutes of the LODA Public Tender Committee recommending the replacement of the key personnel;

NOW THE PARTIES AGREE TO AMEND THE INITIAL CONTRACT AS FOLLOWS:

ARTICLE 1: PURPOSE OF THE AMENDMENT

This Amendment has the objective the replacement of the existing key personnel Assistant Resident Engineer of Rubavu district following the resignation from the project, with the effective date of departure 05th December 2025;

ARTICLE 2: THE CHANGE OF THE KEY STAFF

The Assistant Resident Engineer (Rubavu) Eng. MUHIRWA Adolphe is replaced by Eng. UWAMUNGU Jean Nepo.

ARTICLE 3:  INCONSISTENT PROVISIONS

Except otherwise stated into this amendment No:3 other provisions in the initial contract, and amendment 1 and 2 remain into force;

ARTICLE 4: COMMENCEMENT 

This contract amendment shall come into force after the final signing of the contract amendment.

 







","CONTRACT AMENDMENT № 3 ON CONSULTANCY SERVICES

This Consultancy Services Contract amendment hereinafter referred to as the “Contract amendment No 3” intends to amend the contract and its amendments and entered into by and between:

Local Administrative Entities Development Agency (LODA), represented by Ms. NYINAWAGAGA Claudine Marie Solange, Director General of LODA, GISHUSHU P.O Box 7305 Kigali, e-mail: info@loda.gov.rw, hereinafter referred to as the “Client” on one part,

And

UNITED CONTRACTORS Ltd, hereinafter referred to as the “Consultant” on the other part,

Pursuant to the, Contract No. 000003/C/IRT/2023/2024/LODA signed on 17 February, 2025 between LODA and UNITED CONTRACTORS Ltd, for the Consultancy Services for Construction Supervision (CSC) for RUDP II Phase 4 Infrastructure in Six Secondary Cities and its amendments, especially in its article 22.1 “Contract Amendments”;

Basing on the letter No. 005/UCL/MD/LODA-Client/2025 of 30th October 2025 from UNITED CONTRACTORS Ltd requesting the replacement of key personnel Eng. MUHIRWA Adolphe, who resigned from his position as Assistant Resident Engineer for Rubavu District, and proposing Eng. UWAMUNGU Jean Nepo as a replacement;

Considering the Internal Memo from the SPIU/LODA Ag. Coordinator requesting approval for the replacement of the said key personnel following his resignation;

Considering the minutes of the LODA Public Tender Committee recommending the replacement of the key personnel;

NOW THE PARTIES AGREE TO AMEND THE INITIAL CONTRACT AS FOLLOWS:

ARTICLE 1: PURPOSE OF THE AMENDMENT

This Amendment has the objective the replacement of the existing key personnel Assistant Resident Engineer of Rubavu district following the resignation from the project, with the effective date of departure 05th December 2025;

ARTICLE 2: THE CHANGE OF THE KEY STAFF

The Assistant Resident Engineer (Rubavu) Eng. MUHIRWA Adolphe is replaced by Eng. UWAMUNGU Jean Nepo.

ARTICLE 3:  INCONSISTENT PROVISIONS

Except otherwise stated into this amendment No:3 other provisions in the initial contract, and amendment 1 and 2 remain into force;

ARTICLE 4: COMMENCEMENT 

This contract amendment shall come into force after the final signing of the contract amendment.

 







"
0.releases.607.contracts.0.amendments.6,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-190320251453-EGcRYSXmva,2025-03-19T14:53:49Z,Replacement of key staff,Replacement of key staff
0.releases.607.contracts.0.amendments.7,0.releases.607,0.releases.607.contracts.0,0,ocds-ozzobm-000003/C/IRT/2023/2024/2305000000-CP-200620251223-FL8YAcE1RT,2025-06-20T12:23:24Z,"CONTRACT AMENDMENT ON CONSULTANCY SERVICES

This Consultancy Services Contract amendment hereinafter referred to as the “Contract amendment No 2” intends to amend the contract and its amendments and entered into by and between:
Local Administrative Entities Development Agency (LODA) and UNITED CONTRACTORS Ltd, hereinafter referred to as the “Consultant” on the other part,
Pursuant to the, Contract No. 01 -000003/C/IRT/2023/2024/LODA signed on 17 February, 2025 between LODA and UNITED CONTRACTORS Ltd, for the Consultancy Services for Construction Supervision (CSC) for RUDP II Phase 4 Infrastructure in Six Secondary Cities and its amendments, especially in its article 20.1 “Contract Price”; and in its article 22.1, 22.2 and 22.3 “Contract Amendments”;

Basing on the Internal MEMO from UIDP Program manager of April 30th, 2025 requesting LODA management to increase the number of foremen from 6 to 15 (i.e.  9 additional foremen) as expressed by the Consultant in order to keep quality standards and other positive aspects during the works project execution;

Basing also on the Internal MEMO from UIDP Program manager of June 11th, 2025 requesting LODA management requesting for the replacements of the following Key personnel: Geotechnical/Materials Engineer, Assistant Resident Engineer, Social Safeguard Specialist and Environmental Safeguard Specialist; 

Basing on the letter No. UCL/MD/LODA/Client/002/2025 of 18th April 2025 from UNITED CONTRACTORS Ltd request addition two foreman for Musanze, Rubavu and Muhanga District and one additional foreman for Rusizi, Huye and Nyagatare District respectivelly;

Basing also on the letter No. 02/UCL/MD/RUDPIIPHASE-Client/2025 of 10th June 2025 from UNITED CONTRACTORS Ltd requesting for the replacements of the following Key personnel: Geotechnical/Materials Engineer, Assistant Resident Engineer, Social Safeguard Specialist and Environmental Safeguard Specialist; 
 
Basing on the minutes of LODA Public Tender Committee recommending that the requested staff reinforcement be granted to the Consultant (UNITED CONTRACTORS Ltd) in order to facilitate the smoother implementation and ensure timely completion of the project and after the comparison profile analysis of the proposed new key staff;

Basing also to the minutes of the Public Tender Committee approved the proposed staff changes following the evaluation of the Consultant’s request and qualifications of the proposed new key personnel as follows:
1.	Assistant Resident Engineer: Muhirwa Adolphe replaces Safari Jean De Dieu, 
2.	Geotechnical/Materials Engineer: Rutayisire Jean Claude replaces Hitayezu Doninique
3.	Environmental Safeguard Specialist: Etienne Musemakweli replaces Mushimiyimana Dieudonne
4.	Social safeguard Specialist: Neza Irene replaces Semucyo Jean Bosco.

PURPOSE OF THE AMENDMENT
This Amendment aims to:
•	Increase the number of foremen from six (6) to fifteen (15), with corresponding adjustments in time input and remuneration;
•	Replace four key personnel, specifically:
o	Geotechnical/Materials Engineer
o	Assistant Resident Engineer
o	Social Safeguard Specialist
o	Environmental Safeguard Specialist
These changes are intended to enhance quality supervision and facilitate the timely and effective completion of the works.


","CONTRACT AMENDMENT ON CONSULTANCY SERVICES

This Consultancy Services Contract amendment hereinafter referred to as the “Contract amendment No 2” intends to amend the contract and its amendments and entered into by and between:
Local Administrative Entities Development Agency (LODA) and UNITED CONTRACTORS Ltd, hereinafter referred to as the “Consultant” on the other part,
Pursuant to the, Contract No. 01 -000003/C/IRT/2023/2024/LODA signed on 17 February, 2025 between LODA and UNITED CONTRACTORS Ltd, for the Consultancy Services for Construction Supervision (CSC) for RUDP II Phase 4 Infrastructure in Six Secondary Cities and its amendments, especially in its article 20.1 “Contract Price”; and in its article 22.1, 22.2 and 22.3 “Contract Amendments”;

Basing on the Internal MEMO from UIDP Program manager of April 30th, 2025 requesting LODA management to increase the number of foremen from 6 to 15 (i.e.  9 additional foremen) as expressed by the Consultant in order to keep quality standards and other positive aspects during the works project execution;

Basing also on the Internal MEMO from UIDP Program manager of June 11th, 2025 requesting LODA management requesting for the replacements of the following Key personnel: Geotechnical/Materials Engineer, Assistant Resident Engineer, Social Safeguard Specialist and Environmental Safeguard Specialist; 

Basing on the letter No. UCL/MD/LODA/Client/002/2025 of 18th April 2025 from UNITED CONTRACTORS Ltd request addition two foreman for Musanze, Rubavu and Muhanga District and one additional foreman for Rusizi, Huye and Nyagatare District respectivelly;

Basing also on the letter No. 02/UCL/MD/RUDPIIPHASE-Client/2025 of 10th June 2025 from UNITED CONTRACTORS Ltd requesting for the replacements of the following Key personnel: Geotechnical/Materials Engineer, Assistant Resident Engineer, Social Safeguard Specialist and Environmental Safeguard Specialist; 
 
Basing on the minutes of LODA Public Tender Committee recommending that the requested staff reinforcement be granted to the Consultant (UNITED CONTRACTORS Ltd) in order to facilitate the smoother implementation and ensure timely completion of the project and after the comparison profile analysis of the proposed new key staff;

Basing also to the minutes of the Public Tender Committee approved the proposed staff changes following the evaluation of the Consultant’s request and qualifications of the proposed new key personnel as follows:
1.	Assistant Resident Engineer: Muhirwa Adolphe replaces Safari Jean De Dieu, 
2.	Geotechnical/Materials Engineer: Rutayisire Jean Claude replaces Hitayezu Doninique
3.	Environmental Safeguard Specialist: Etienne Musemakweli replaces Mushimiyimana Dieudonne
4.	Social safeguard Specialist: Neza Irene replaces Semucyo Jean Bosco.

PURPOSE OF THE AMENDMENT
This Amendment aims to:
•	Increase the number of foremen from six (6) to fifteen (15), with corresponding adjustments in time input and remuneration;
•	Replace four key personnel, specifically:
o	Geotechnical/Materials Engineer
o	Assistant Resident Engineer
o	Social Safeguard Specialist
o	Environmental Safeguard Specialist
These changes are intended to enhance quality supervision and facilitate the timely and effective completion of the works.


"
